TEAM_NAME,PLAYOFF_WINS,SEASON_YEAR
Boston Celtics,16,2023-24
Dallas Mavericks,13,2023-24
Minnesota Timberwolves,9,2023-24
Indiana Pacers,8,2023-24
Denver Nuggets,7,2023-24
New York Knicks,7,2023-24
Oklahoma City Thunder,6,2023-24
Cleveland Cavaliers,5,2023-24
Orlando Magic,3,2023-24
LA Clippers,2,2023-24
Milwaukee Bucks,2,2023-24
Philadelphia 76ers,2,2023-24
Los Angeles Lakers,1,2023-24
Miami Heat,1,2023-24
Denver Nuggets,16,2022-23
Miami Heat,13,2022-23
Boston Celtics,11,2022-23
Los Angeles Lakers,8,2022-23
Philadelphia 76ers,7,2022-23
Golden State Warriors,6,2022-23
New York Knicks,6,2022-23
Phoenix Suns,6,2022-23
Sacramento Kings,3,2022-23
Atlanta Hawks,2,2022-23
Memphis Grizzlies,2,2022-23
Cleveland Cavaliers,1,2022-23
LA Clippers,1,2022-23
Milwaukee Bucks,1,2022-23
Minnesota Timberwolves,1,2022-23
Golden State Warriors,16,2021-22
Boston Celtics,14,2021-22
Miami Heat,11,2021-22
Dallas Mavericks,9,2021-22
Milwaukee Bucks,7,2021-22
Phoenix Suns,7,2021-22
Memphis Grizzlies,6,2021-22
Philadelphia 76ers,6,2021-22
Minnesota Timberwolves,2,2021-22
New Orleans Pelicans,2,2021-22
Toronto Raptors,2,2021-22
Utah Jazz,2,2021-22
Atlanta Hawks,1,2021-22
Chicago Bulls,1,2021-22
Denver Nuggets,1,2021-22
Milwaukee Bucks,16,2020-21
Phoenix Suns,14,2020-21
Atlanta Hawks,10,2020-21
LA Clippers,10,2020-21
Brooklyn Nets,7,2020-21
Philadelphia 76ers,7,2020-21
Utah Jazz,6,2020-21
Denver Nuggets,4,2020-21
Dallas Mavericks,3,2020-21
Los Angeles Lakers,2,2020-21
Portland Trail Blazers,2,2020-21
Boston Celtics,1,2020-21
Memphis Grizzlies,1,2020-21
New York Knicks,1,2020-21
Washington Wizards,1,2020-21
Los Angeles Lakers,16,2019-20
Miami Heat,14,2019-20
Boston Celtics,10,2019-20
Denver Nuggets,9,2019-20
LA Clippers,7,2019-20
Toronto Raptors,7,2019-20
Houston Rockets,5,2019-20
Milwaukee Bucks,5,2019-20
Oklahoma City Thunder,3,2019-20
Utah Jazz,3,2019-20
Dallas Mavericks,2,2019-20
Orlando Magic,1,2019-20
Portland Trail Blazers,1,2019-20
Toronto Raptors,16,2018-19
Golden State Warriors,14,2018-19
Milwaukee Bucks,10,2018-19
Portland Trail Blazers,8,2018-19
Denver Nuggets,7,2018-19
Philadelphia 76ers,7,2018-19
Houston Rockets,6,2018-19
Boston Celtics,5,2018-19
San Antonio Spurs,3,2018-19
LA Clippers,2,2018-19
Brooklyn Nets,1,2018-19
Oklahoma City Thunder,1,2018-19
Orlando Magic,1,2018-19
Utah Jazz,1,2018-19
Golden State Warriors,16,2017-18
Cleveland Cavaliers,12,2017-18
Boston Celtics,11,2017-18
Houston Rockets,11,2017-18
New Orleans Pelicans,5,2017-18
Philadelphia 76ers,5,2017-18
Utah Jazz,5,2017-18
Toronto Raptors,4,2017-18
Indiana Pacers,3,2017-18
Milwaukee Bucks,3,2017-18
Oklahoma City Thunder,2,2017-18
Washington Wizards,2,2017-18
Miami Heat,1,2017-18
Minnesota Timberwolves,1,2017-18
San Antonio Spurs,1,2017-18
Golden State Warriors,16,2016-17
Cleveland Cavaliers,13,2016-17
Boston Celtics,9,2016-17
San Antonio Spurs,8,2016-17
Washington Wizards,7,2016-17
Houston Rockets,6,2016-17
Toronto Raptors,4,2016-17
Utah Jazz,4,2016-17
LA Clippers,3,2016-17
Atlanta Hawks,2,2016-17
Chicago Bulls,2,2016-17
Memphis Grizzlies,2,2016-17
Milwaukee Bucks,2,2016-17
Oklahoma City Thunder,1,2016-17
Cleveland Cavaliers,16,2015-16
Golden State Warriors,15,2015-16
Oklahoma City Thunder,11,2015-16
Toronto Raptors,10,2015-16
Miami Heat,7,2015-16
San Antonio Spurs,6,2015-16
Portland Trail Blazers,5,2015-16
Atlanta Hawks,4,2015-16
Charlotte Hornets,3,2015-16
Indiana Pacers,3,2015-16
Boston Celtics,2,2015-16
LA Clippers,2,2015-16
Dallas Mavericks,1,2015-16
Houston Rockets,1,2015-16
Golden State Warriors,16,2014-15
Cleveland Cavaliers,14,2014-15
Houston Rockets,9,2014-15
Atlanta Hawks,8,2014-15
Los Angeles Clippers,7,2014-15
Chicago Bulls,6,2014-15
Memphis Grizzlies,6,2014-15
Washington Wizards,6,2014-15
San Antonio Spurs,3,2014-15
Brooklyn Nets,2,2014-15
Milwaukee Bucks,2,2014-15
Dallas Mavericks,1,2014-15
Portland Trail Blazers,1,2014-15
